hero_id,name,roles,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,5_winrate,6_winrate,7_winrate,8_winrate,mean_winrate
37,npc_dota_hero_warlock,Support-Initiator-Disabler,8066,4007,3458,1739,1453,719,382,190,0.49677659310686834,0.5028918449971082,0.49483826565726086,0.4973821989528796,0.49797222567852917
38,npc_dota_hero_beastmaster,Initiator-Disabler-Durable-Nuker,3393,1729,2054,1101,1275,729,881,482,0.5095785440613027,0.5360272638753651,0.571764705882353,0.547105561861521,0.5411190189201355
39,npc_dota_hero_queenofpain,Carry-Nuker-Escape,23458,11628,10815,5328,4896,2450,1877,969,0.49569443260294993,0.4926490984743412,0.5004084967320261,0.5162493340436868,0.501250340463251
40,npc_dota_hero_venomancer,Support-Nuker-Initiator-Pusher-Disabler,14673,7775,6486,3423,2785,1472,819,427,0.5298848224630274,0.5277520814061054,0.5285457809694794,0.5213675213675214,0.5268875515515334
41,npc_dota_hero_faceless_void,Carry-Initiator-Disabler-Escape-Durable,23287,11270,10218,5044,4398,2206,1590,811,0.48396100828788596,0.49363867684478374,0.5015916325602546,0.510062893081761,0.49731355269367133
42,npc_dota_hero_skeleton_king,Carry-Support-Durable-Disabler-Initiator,24594,13025,10975,5880,4719,2501,1353,716,0.5296007156216963,0.5357630979498861,0.5299851663488027,0.5291943828529194,0.5311358406933261
43,npc_dota_hero_death_prophet,Carry-Pusher-Nuker-Disabler,4794,2457,2149,1108,1200,628,448,214,0.5125156445556946,0.5155886458818055,0.5233333333333333,0.47767857142857145,0.5072790487998513
44,npc_dota_hero_phantom_assassin,Carry-Escape,29122,14044,12039,5782,4552,2152,1397,658,0.4822470984135705,0.4802724478777307,0.4727592267135325,0.47100930565497495,0.47657201966495216
45,npc_dota_hero_pugna,Nuker-Pusher,8080,3857,3638,1792,1714,826,537,251,0.47735148514851483,0.4925783397471138,0.48191365227537925,0.46741154562383613,0.479813755698711
46,npc_dota_hero_templar_assassin,Carry-Escape,11563,5655,5694,2796,2775,1413,1130,578,0.4890599325434576,0.4910432033719705,0.5091891891891892,0.511504424778761,0.5001991874708446
47,npc_dota_hero_viper,Carry-Durable-Initiator-Disabler,15317,7475,6132,3022,2661,1314,788,381,0.48801984722856956,0.4928245270711024,0.49379932356257045,0.48350253807106597,0.4895365589833271
48,npc_dota_hero_luna,Carry-Nuker-Pusher,26566,13255,12776,6260,5908,2914,2243,1035,0.4989460212301438,0.48998121477770823,0.49322951929587,0.46143557735176105,0.4858980831638708
49,npc_dota_hero_dragon_knight,Carry-Pusher-Durable-Disabler-Initiator-Nuker,9862,4695,4009,1881,1521,747,438,209,0.47606976272561347,0.46919431279620855,0.4911242603550296,0.4771689497716895,0.4783893214121353
50,npc_dota_hero_dazzle,Support-Nuker-Disabler,21451,11506,8458,4517,3027,1562,709,349,0.5363852501048902,0.5340506029794277,0.5160224644862901,0.4922425952045134,0.5196752281937804
51,npc_dota_hero_rattletrap,Initiator-Disabler-Durable-Nuker,10934,5331,4878,2441,2158,1106,780,388,0.48756173404060726,0.500410004100041,0.5125115848007414,0.49743589743589745,0.49947980509432177
52,npc_dota_hero_leshrac,Carry-Support-Nuker-Pusher-Disabler,7160,3514,3900,1874,2156,1060,1083,548,0.49078212290502793,0.4805128205128205,0.49165120593692024,0.5060018467220684,0.49223699901920925
53,npc_dota_hero_furion,Carry-Jungler-Pusher-Escape-Nuker,10154,4268,4431,1894,1894,842,818,384,0.42032696474295844,0.42744301512074023,0.44456177402323127,0.46943765281173594,0.44044235167466644
54,npc_dota_hero_life_stealer,Carry-Durable-Jungler-Escape-Disabler,21522,11255,9439,4918,4108,2118,1233,630,0.5229532571322367,0.5210297701027651,0.5155793573515093,0.5109489051094891,0.5176278224240001
55,npc_dota_hero_dark_seer,Initiator-Jungler-Escape-Disabler,5658,2894,2763,1436,1308,668,526,251,0.5114881583598445,0.5197249366630474,0.5107033639143731,0.47718631178707227,0.5047756926810844
56,npc_dota_hero_clinkz,Carry-Escape-Pusher,11913,5960,5580,2812,2512,1285,666,342,0.5002937966926887,0.5039426523297491,0.5115445859872612,0.5135135135135135,0.5073236371308031
57,npc_dota_hero_omniknight,Support-Durable-Nuker,4877,2673,2200,1240,927,494,302,164,0.5480828378101292,0.5636363636363636,0.5329018338727076,0.543046357615894,0.5469168482337736
58,npc_dota_hero_enchantress,Support-Jungler-Pusher-Durable-Disabler,4954,2210,2432,1098,1121,528,582,286,0.4461041582559548,0.45148026315789475,0.47100802854594115,0.49140893470790376,0.46500034616692365
59,npc_dota_hero_huskar,Carry-Durable-Initiator,11427,6178,5023,2735,2167,1128,689,349,0.5406493392841516,0.5444953215210034,0.5205353022611906,0.5065312046444121,0.5280527919276894
60,npc_dota_hero_night_stalker,Carry-Initiator-Durable-Disabler-Nuker,17621,9474,8907,4698,4607,2456,1664,880,0.5376539356449691,0.5274503199730549,0.5331018016062513,0.5288461538461539,0.5317630527676073
61,npc_dota_hero_broodmother,Carry-Pusher-Escape-Nuker,1315,637,722,348,443,219,285,168,0.4844106463878327,0.481994459833795,0.49435665914221216,0.5894736842105263,0.5125588623935915
62,npc_dota_hero_bounty_hunter,Escape-Nuker,18031,9042,8283,4137,3470,1734,1157,599,0.5014696910875714,0.49945671858022456,0.49971181556195965,0.5177182368193605,0.504589115512279
63,npc_dota_hero_weaver,Carry-Escape,23653,12262,11802,6161,5988,3123,2734,1466,0.5184120407559295,0.5220301643789188,0.5215430861723447,0.5362106803218727,0.5245489929072664
64,npc_dota_hero_jakiro,Support-Nuker-Pusher-Disabler,26250,14039,12188,6493,5401,2877,1614,818,0.5348190476190476,0.5327371184771906,0.5326791334937975,0.506815365551425,0.5267626662853652
